label,country,city,dataset,provider,application,name,url,github,domain,title,desc,reading
16,美国,,维基信息，维基笔划数据库,NGO,创建App,openwords,http://www.openwords.org/,,教育,openwords：用开放维基数据变革语言学习,语言教育经常脱离实际应用场景，openwords爬取维基百科的丰富信息和利用笔划数据库，构建了基于开放数据的语言教学app，让人们通过一些有趣的内容来学习语言的听说读写,
17,美国,纽约,311投诉数据（主要是针对房客对房东房屋的投诉，比如失修、出现害虫等），以及房管局的房屋违例记录,政府,创建App,RentCheck,https://www.rentcheck.me/,,住房,老是租到糟糕的房子？RentCheck用开放数据带来透明化的租房市场,美国房屋租赁市场往往因为房屋的信息透明度（比如房屋清洁度、维护情况等）差而导致租客在租房后遇到各种房屋上的问题。RentCheck试图通过整合市政府提供的房屋相关开放数据及UCG的评价意见，为每个房屋打分，该分数反映出该房屋出现问题的概率及出现问题后会得到妥善解决的概率（从A-F，A最好）。,https://medium.com/ted-fellows/open-data-is-about-to-make-renting-an-apartment-in-nyc-suck-less-3282fe5502ee
18,美国,,犯罪率，空气质量，周边民生设施（公园、公共厕所、医院、学校等），公共交通线路,政府,创建App,PlaceILive,http://placeilive.com/,,住房,PlaceIlive，开放数据让你更了解自己的居住环境,租住或者购买房屋通常只能了解到房屋本身结构、大小、地理位置的信息，但对于其周边有哪些影响居住体验的信息却很少。PlaceLive通过整合政府释放的开放数据，为房屋提供全面的周边地理、环境信息，从而帮助消费者更好作出决定。,http://www.itworld.com/article/2903696/how-open-data-can-help-you-to-choose-a-place-to-live.html
19,美国,芝加哥,餐厅违例记录，气温数据，餐厅经营许可，餐厅地理位置数据，311投诉记录（卫生、垃圾），罪案数据（入室偷盗），烟酒售卖许可数据,政府,提升现有服务或App,,,https://github.com/chicago/food-inspections-evaluation/,食品安全,用开放数据提升餐厅违例检查绩效——芝加哥市的故事,芝加哥市有超过15000个食品经营点，但只有30多卫生检查员，面对如此大的工作量，芝加哥市希望通过开放数据搭建预测模型，从而降低政府人工检查的工作量。在两个月的算法实验中，人工检查了1637个餐饮点，第一个月发现了141个违规，第二个月发现了117个违规。而通过算法预测违规的话，预测结果指出第一个月内178个餐饮点有违规可能，这比人工按照以往工作流程可以潜在多发现37个违规，平均提早7.5个工作日发现潜在违规。这样的预测信息可以帮助市政府合理规划检查优先级，提前检查系统预警可能违规的餐饮点从而预防食品安全问题。,http://chicago.github.io/food-inspections-evaluation/
20,英国,,自行车号牌登记数据，自行查报失数据,政府,创建App,Check That Bike,https://checkthatbike.co.uk,,治安,CheckthatBike以开放数据打击自行车犯罪,"英国自行车盗窃猖狂，据2014报告指出一年约有376,000自行车被盗，平均每67秒被盗一辆（据网站所说）。截至2014年10月，该网站已帮助找回1097辆自行车，预估经济价值£291,802。另作为一个副作用，该网站也影响了购买者行为，通过和这个网站交互，购买者将会被“提醒”不要购买被盗车辆。",https://theodi.org/news/check-that-bike-tackles-over-100m-worth-of-bike-theft-in-england-and-wales-each-year-with-open-data
21,英国,,GP医生处方数据、CCG（医疗工会）级别数据、PCT（医疗服务采购局）级别数据，都包含：药品名，成本，实际成本。数据见：http://www.hscic.gov.uk/prescribing,政府,提升现有服务或App,,http://www.prescribinganalytics.com/,,医疗,2亿英镑的节省，开放数据改善药物处方,社会医疗保险每年在药物上投入了大量资源，但当中极有可能因为医生开具的处方使用了昂贵药物而造成公共资源浪费。如果普通药物的疗效和昂贵药物一样则开具更多普通药物就能将一部分公共财政资源用于更需要的地方。 Mastodon C 分析了英国国民医保服务发布的处方数据，针对一种特定药物statins分析医生开具处方时选择普通药物和昂贵药物的模式，从而向英国国民医保服务提出建言，在未来节省开支，可能预计达到2亿英镑。,http://theodi.org/news/prescription-savings-worth-millions-identified-odi-incubated-company
22,乌拉圭,,医疗服务绩效指标,政府,创建App,A Tu Servicio,http://atuservicio.uy/,https://github.com/datauy/atuservicio_rails,医疗,我的医疗服务我做主：开放数据带来的透明医疗市场,在乌拉圭，人们有权利每年更换自己的医疗服务提供商，而为了让们更好作出决定，各服务提供商的绩效数据就尤为重要。A Tu Serivcio 将政府开放的医疗服务绩效指标可视化，提供一站式信息面板供大众对比不同医疗服务提供商，从而作出更好的决策。该项目影响力非在医疗服务上。政府发布数据后并未得到很大关注，直到该服务上线，大众和媒体才关注相应信息，从而引发人们对政府管理、采集、发布相应数据的讨论，媒体也发现了政府数据中的一些错误。医疗服务商也首次重视起相应绩效考核指标，这在拉美小国中属于难得的事情。,http://sunlightfoundation.com/blog/2015/05/13/how-open-data-is-changing-the-way-uruguayans-choose-their-health-care/
23,美国,华盛顿,学区划分 和 学区划分改动 的地理边界数据 http://opendata.dc.gov/datasets?utf8=%E2%9C%93&q=+school+boundary,政府,创建App,ourdcschools,http://www.ourdcschools.org/,,教育,开放数据解惑令人头疼的学区变更,学区变更是牵涉到公众教育权益的一件大事，美国华盛顿在2014年对使用了40年的学区划分开展变更计划，但其变动很难被民众理解。通过将相应数据可视化，并高亮出变化区域，以及向民众解释相应变化如何影响他们的教育权益，ourdcschools采集了公众的反馈来帮助政府和学区委员会作出相应调整。,http://e-pluribusunum.org/2014/04/23/code-for-dc-launches-ourdcschools-org-an-open-government-platform-for-proposed-school-policy/
24,英国,,公共厕所位置信息,政府,创建App,The Great British Public Toilet Map,http://greatbritishpublictoiletmap.rca.ac.uk/,,民生服务,找不到厕所的尴尬！让开放数据为你解决,对于有肠胃或膀胱问题的人，出门在外找不到公共厕所是非常痛苦的，也因此很多人为了省却麻烦而干脆不再出行。The Great British Public Toilet Map 通过将政府开放的公共厕所信息结合其他来源的公共厕所信息（比如企业、志愿者众包等），为此类人群提供了出行的指南。,http://www.theguardian.com/technology/2011/mar/29/toilets-government-open-data
25,新西兰,,交通流量数据（traffic volume ），GDP统计数据,政府,产出统计结果,anz分析,http://www.anz.co.nz/about-us/economic-markets-research/truckometer/,,经济发展,交通流量能预测经济发展？看新西兰怎么做,经济发展的预测对于商业、市民生活等都至关重要，如何能够准确预知经济发展的走势是也因而是一个重要的课题。ANZ利用交通部发布的交通流量数据，针对一些重要路段进行了和GDP数据的关联分析，从而发现交通流量数据能够用于预测未来6个月的经济发展，其相关度极高。,https://www.ict.govt.nz/guidance-and-resources/case-studies/open-data/anz-truckometer/
26,尼泊尔,,政府预算（水安全项目投入）,政府,产出统计结果,,,,水安全,用开放数据让财政投入更有效,政府对于不同地区的水安全投入的资金比例不同，有些地方因此没有足够的资金开展必要的项目。WaterAid通过分析政府预算数据，了解各地区的水安全预算，从而指出哪些地区有过多预算，哪些地区预算不足，从而协助政府调整预算，协助NGO更好进行倡导。,http://devinit.org/#!/post/using-budget-data-to-improve-water-policy-in-nepal-2
27,英国,,摩托车事故数据：地点、路况、年龄、性别、时间、日期、速度、伤亡情况,政府,创建可视化,MCE 可视化,http://www.mceinsurance.com/resources/uk-motorcycle-accident-hotspots/,,交通出行,开放数据揭示的故事：20岁以下是摩托车事故的最危险年龄段,摩托车出行事故在英国频繁发生，但到底情况如何大众可能并不了解。通过分析并可视化政府开放的摩托车事故数据，MCE保险公司发现晚上4点到7点是事故频发的高峰期，而20岁以下则是出事故的最多年龄组,http://www.motorcycletrader.net/display_article.aspx?OBJ_ID=5422230
28,英国,"Bude, Cornwall",天然洗浴游泳场水质数据,政府,创建可视化,Bude Cleaner Seas Project,,,水安全,用开放水质令海滩赢取游客,为了提升海滨浴场水质从好到极佳，环境局和volunteer cornwall一起利用政府开放的天然洗浴游泳场水质数据开发了一款实时互动可视化作品，并将其安放在浴场入口的一块触摸屏上供游客了解浴场水质情况。他们期望水质透明化能够更好吸引游客和为游客服务，振兴当地旅游业。,https://www.gov.uk/government/case-studies/open-data-water-quality-at-summerleaze-beach
29,英国,,能源使用率区级或区级以下统计，以及相关统计信息,政府,创建App,Community Energy Manager,http://www.communityenergymanager.org/,,能源,基于开放数据的社区能源团购,能源的高效利用是社会发展的重要议题，对于一个居住社区，如何了解整个社区的能源需求进而有策略地进行社区能源采购策略则是摆在面前的现实难题。Community Engergy Manager将政府开放的社区能源利用率等数据结合上社区志愿者访谈采集的社区能源需求等定性数据，综合产出社区能源购买的策略，从而为社区向能源供给公司谈判合理的能源采购价格，从而实现高性价比、高效地使用能源。,http://theodi.org/blog/community-energy-manager-drives-local-sustainability-saves-communities-thousands-of-pounds-with-open-data
30,美国,,消防栓位置数据,政府,创建App,adopt the hydrant,http://www.adoptahydrant.org/,https://github.com/codeforamerica/adopt-a-hydrant,社区建设,领养消防栓：基于开放数据的病毒式社区活动,社区设施的维护需要社区居民的贡献，在冬天，消防栓通常会被埋于积雪之下，如果没有及时将积雪清楚，则在社区碰到火灾时造成麻烦。codeforamerica利用开放的消防栓地理位置数据开发了adopt a hydrant应用，号召居民认养消防栓，将社区建设的项目转变为一个有趣的社区游戏，鼓励人们对社区建设作出贡献。,https://www.codeforamerica.org/apps/adopt-a-hydrant/
32,美国,,气象数据、土壤数据,政府,提升现有服务或App,Climate Corp.,,,农业,个性化的农业保险，开放气象数据引领的商业可能,农业是靠天靠地吃饭的，因此如果天气恶劣或者土地质量差就会导致当年收成差收入低，Climate Corporation通过整合美国政府开放的气象数据和土壤质量数据，模拟计算出特定农民所在特定农地的收成，为其投保农业险，从而保障农民的收益，并根据数据为农民提供相应种植指导。,http://www.opendatanow.com/2013/06/new-how-open-data-can-fight-climate-change/
33,中国台湾,,政府预算数据,政府,创建App,中央政府预算可视化,http://budget.g0v.tw/,https://github.com/g0v/twbudget,政府&财政,看台湾开放政府预算带来的公众参与,政府预算是如何安排的？是否有方便的方式让人们一目了然知道预算的安排情况？进一步，是否有可能参与反馈意见？g0v的第一款作品便是可视化了中央财政预算数据，并提供了民众反馈的功能，众包式向政府和社会发出自己对预算安排的观点。,http://g0v.asia/zh-tw/
35,英国,,GP医生处方数据、CCG（医疗工会）级别数据、PCT（医疗服务采购局）级别数据，都包含：药品名，成本，实际成本。数据见：http://www.hscic.gov.uk/prescribing,政府,产出统计结果，创建可视化,,,https://github.com/MastodonC/kixi.health-data,医疗,用开放数据挽救渐渐无效的抗生素,抗生素的频繁使用导致各种抗体的诞生，为了让人类后代仍旧能够使用抗生素，如今有必要建立起一个高性价比、精确、快速、易用的方法来检测细菌感染，从而帮助医疗机构在对的时候选用的对的抗生素，从而减低没必要的抗生素使用。为了实现这一愿景，我们首先要了解如今医疗服务使用抗生素的习惯，因而Mastodon C针对GP级别和PTC级别的处方数据进行了分析，从而产出了关于不同GP、不同CTC、不同时间、不同地域开具抗生素的不同行为。,https://longitudeprize.org/blog-post/uncovering-our-antibiotic-habits-working-prescription-data
36,英国,伦敦,消防站出勤记录：出勤类型，到达时间，消防车到达时间，出勤地点等，详参http://data.london.gov.uk/dataset/london-fire-brigade-incident-records,政府,创建App,London Fire Lab,http://london-fire.labs.theodi.org/,https://github.com/theodi/FNR_Analysis,公共安全,挪动消防站？让开放数据揭示背后的故事,在城市规划时，该如何确定消防站设定的地理位置，从而提高消防站的出勤效率，第一时间响应保障消防安全？英国开放数据研究院利用了伦敦市开放的消防站出勤记录数据，结合了电信公司共享的基站数据，开发了一款模拟工具，能够帮助人们了解一个特定消防站被关闭后，将会产生何种影响。,http://theodi.org/news/odi-reveals-impact-of-london-fire-station-closures-using-open-data
37,法国,,法案修正案数据、法案修正议会辩论数据、法案修正变动记录数据,政府,创建App,TheLawFactory.fr,http://www.lafabriquedelaloi.fr/,https://github.com/regardscitoyens/the-law-factory,司法,议员干活了吗？GitLaw带来的立法透明化,政党议员在法案制定和修正过程中究竟发挥什么作用？我们如何能够更好追踪并了解法案的变更以及背后的故事？法国 TheLawFactory.fr 结合了政府公开发布的法案修正案和辩论数据，以及分析提取了法案变更数据之后，得以向民众展现法案演变的过程，将议员政党在法案变更中的作用予以透明化。,http://sunlightfoundation.com/blog/2014/06/25/opengov-voices-how-gitlaw-turns-the-french-parliamentary-process-into-open-data/
38,美国,,急诊室候诊时间数据：候诊后转入病房、离开医院、入院、给予治通片的时间记录，医院名称、日期等,政府,创建可视化，创建App,ER Wait Watcher,https://projects.propublica.org/emergency/,,医疗,急诊收治哪家强？看ProPublica用开放数据为你解答,要去急诊？离你最近的医院未必能够紧急收治你。ProPublic通过结合政府开放的医院自报急诊候诊时间数据和google的地面交通情况数据，帮助你找到能够最快收治你的急诊室。,http://www.propublica.org/article/how-long-will-you-wait-at-the-emergency-room
39,美国,波斯顿,学校地理位置,政府,创建App,DiscoverBPS,http://www.discoverbps.org/,https://github.com/codeforamerica/schoolselection,教育,DiscoverBPS，美国基于开放数据选校的先驱者,如何选择公立学校是家长在升学季面临的头等难题，考虑一所学校不但要知晓其入学条件（学区、兄弟姐妹入学政策等），还需要考虑其往年的入学率、毕业率，以及其周边的公共设施（交通情况等）。为此波斯顿政府和CfA的fellow们合作，利用了开放的数据结合一些共享数据（学校绩效），开发了DiscoverBPS来帮助家长们一站式地基于各类支持信息作出学校选择的决策。,http://www.codeforamerica.org/apps/discover-bps/
40,美国,华盛顿,人口普查、学校绩效数据、学校入学率数据、学校地理位置、公园地理位置、犯罪率等涉及孩童安全、娱乐、学习、医疗的相关设施、统计数据,政府,创建App,DC KIDS COUNT Data Tool,http://datatools.dcactionforchildren.org/,https://github.com/DCActionforChildren/dcaction,教育,看DC KIDS如何利用开放数据众议儿童相关政策,儿童的健康快乐成长是每个父母所关心的，位于华盛顿的非营利机构 dc action for children  利用了开放数据向父母提供了一个一站式的数据浏览和分析工具，帮助父母了解孩子成长的环境和资源，从而发现可能的问题，进而设计和发展新的倡导项目，倡导相应改变。,http://www2.itif.org/2014-moscoso-slides.pdf
41,英国,,河道水位数据（API）,政府,创建可视化,Gaugemap,http://www.gaugemap.co.uk/,,环境,开放水位数据带来的洪灾预警应用Gaugemap,河道水位牵涉着千家万户的财产安全和生产安全，同时也影响着一些城市本身的交通出行。英国环境署在2014年大洪灾之后发布了一系列水情相关API，其中之一便是河道水位数据，这一数据通过Shoothill的加工处理之后，以一个交互式可视化地图出现，能够更好帮助公众及时了解自身环境周边的河道水情，从而做好各类应对和预防措施。,http://www.nesta.org.uk/gaugemap
42,美国,纽约,交通罚款记录（停车罚款部分）,政府,产出统计结果，提升现有服务或App,,,,交通出行,解密纽约最挣钱消防栓背后的故事,纽约规定不可在消防栓周边停车，但其实很多沿街消防栓周围又得被划为了可停车区域，这一现象一直不得人知，直到 Ben Wellington 在分析开放的交通罚单记录（停车罚单部门）时才发现了这一异常的情况。Ben的数据分析促使了社会对问题的关注，从而推动政府部门作出改变，将相应区域明确标识为不可停车区域，这可潜在为纽约市市民节省55000美金的“冤枉”罚单。,http://iquantny.tumblr.com/post/87573867759/success-how-nyc-open-data-and-reddit-saved-new
43,美国,,劳工安全和健康检查违例记录，以及劳工薪资检查违例记录,政府,创建App,Laborsight,http://www.laborsight.com/,,劳动就业,Laborsight帮助你运用开放数据找到“守法”雇主,劳工权益保障是社会保障的重要组成部分，对于求职者而言，一家公司是否曾经违反过劳动法相应条例是其在求职时就需要关心的问题。Laborsight整合了美国劳工部所开放的劳工安全和健康检查违例记录，以及劳工薪资检查违例记录从而可以帮助大众在平台上快速浏览并获取相关信息，从而作出求职决策。,https://www.youtube.com/watch?v=wkf4eySMNY8&t=53m11s
44,美国,芝加哥,芝加哥土地用途区划数据（shapefile）,政府,创建可视化,2nd City Zoning,http://secondcityzoning.org/,https://github.com/open-city/second-city-zoning,住房,2nd City Zoning 帮你理解令人头晕的土地区划,美国城市的土地区划十分复杂，特别是对于希望创业开公司的人来说，要找到合适的房屋（符合本地土地区划规定可以用作商业）开业是一件十分困难的事情，而且往往市政府发布的区划信息又十分难懂，Open City利用芝加哥市开放的土地区划数据，通过简明的颜色区块来可视化土地区划大大降低了人们理解该信息的难度。,http://chicagotonight.wttw.com/2013/01/23/second-city-2000
45,美国,,免费午餐点、公共图书馆,政府,创建App,Range,http://www.caravanstudios.org/#!range/c1ht6,,青少年，健康，社区建设,Range带领青少年走进身边的社会福利,对于低收入家庭，如何确保他们的孩子能够在暑假时依然享受到诸如USDA提供的免费营养餐？Range这款应用将政府开放的免费午餐点数据提供在移动端，供人们了解相关信息并进一步传播。同时也整合一些公共服务设施例如图书馆，供青少年在暑假找寻到公共空间进行学习、娱乐。,http://www.caravanstudios.org/#!range/c1ht6
46,英国,伦敦,公交路线、公交时刻表等交通数据,政府,创建App,citymapper,https://citymapper.com,,交通出行,开放交通数据带来的高效出行,方便出行是每一个市民关心的问题，CItymapper使用开放的交通数据可以帮助市民合理规划出行时间、路线、交通工具。,https://citymapper.com/i/354/we-won-the-tokyo-metro-open-data-contest-special-prize
47,英国,,16岁后各院校科目考试绩效数据（post-16 performance of schools and colleges in different subjects）,政府,创建App,Skills Route,http://www.skillsroute.com/,,教育,就业还是读书？基于开放数据的Skills Route帮你做好人生决定,对于大多数学生而言，未来想要攻读怎样的学校、学科，选择怎样的一份职业都是极为迷茫的。特别是在中考之后，是期望继续读高中将来接受更高一等教育，还是选择中专技校开始工作是一个令人不知如何决断的问题。在英国，很多学生因为迷茫错误选择了人生的下一步导致高退学率，失业率，skills route 通过整合开放的16岁后学校绩效数据，帮助学生寻找适合他们现有学习水平的学校，并根据学生感兴趣的科目预测将来他们的学习情况，并告知相应的职业路径和选择，从而更好帮助家长和学生在人生升学的重要时刻作出正确的决定。,http://www.nesta.org.uk/news/new-tool-helps-16-year-olds-choose-courses-predicting-future-salary-and-grades
48,英国,,学校位置数据，NHS GP 医疗服务数据，医疗工会级别医院数据，火车和公车站数据，劳动就业机会密度统计等用于描述周边生活环境的数据,政府,创建App,MoveMaker,,,城市建设,MoveMaker让社会福利房得到高效利用,廉租房/社会保障性住房是供给低收入或住房困难人士的，但在英国，很多住户可能因为工作、家庭成员变动等原因而导致目前居住的房子无法再满足自身需求或高于现有需求，在这样的情况下，如何能够有效让不同住户间根据需要交换房屋就成了一项难题。MoveMaker通过整合政府开放的数据，为每个社会房屋评出一个基于周边环境和房屋本身情况的综合得分，从而帮助交换者挑选心仪的交换对象，再通过平台帮助双方建立联系，从而让房屋交换对于双方都利益最大化。,http://www.nesta.org.uk/news/social-housing-app-brings-touch-tinder-house-swaps-and-wins-ps40000-open-data-innovation-prize
49,美国,芝加哥,芝加哥罪案记录数据（2011-至今）：罪案编号，类型，地点，经纬度，逮捕记录，FBI编码，所属警区,政府,创建可视化,Crime in Chicago,http://www.crimeinchicago.org,https://github.com/open-city/crime-in-chicago,治安,了解身边的罪案：芝加哥开放罪案可视化,通常人们会比较了解发生在所在城市的一起热门案件，或者对城市整体的治安情况有大致的了解，但是对于自己所居住社区，以及不同时间段、不同犯罪类型的罪案则往往不那么有概念。Open City 所开发的这一可视化作品，将罪案记录以警区分组，向人们展现了罪案在不同警区、不同时间上的变化，从而帮助人们更好认识这一社会问题，并采取必要的应对行动。,http://www.crimeinchicago.org/about
50,美国,多个城市,城市建设许可、城市建设环评等与城市规划建设审批相关的数据,NGO,创建App,BuildingEye,http://buildingeye.com/,,城市建设,不出家门，用BuildingEye了解城市建设状况,城市的发展速度越来越快，但是市民们对于身边到底又有哪些城市发展项目往往一无所知，就算市政府可能提供了清单，但也未必能够一目了然让市民了解情况和进展。BuildingEye将政府开放的相关数据可视化呈现在地图上，让市民（特别是城市发展建设相关人员）能够发现身边的建设项目，及其相关审批状态和进度，并且订阅特定类型发展项目、审批情况的通知，从而可以有效参与城市建设。同时，这一工具也可以帮助市政府本身追踪和解决一些城市发展管理上的问题。,http://www.socrata.com/blog/buildingeye-mapping-clearer-city-plan/
51,加拿大,多个城市,垃圾倾倒区划，垃圾倾倒日程安排,政府,创建App,Recollect,https://recollect.net/,,民生服务,Recollect基于开放数据的垃圾回收提醒服务,在加拿大，倾倒不同类型的垃圾需要遵守市政府的日程安排，但民众往往记不清具体日期而错过倾倒某种垃圾的日子或者错误将某种垃圾提前放置出去。Recollect利用市政府开放的日程和区划数据，为民众定制个性化的提醒通知，通过短信、邮件等渠道及时通知市民该倾倒何种垃圾，并在雨雪天气等异常情况下，及时通知民众该如何应对。,http://www.socrata.com/blog/recollect-fuels-stronger-communities/
52,美国,多个城市,树木地理位置数据,政府,创建App,OpenTreeMap,http://opentreemap.github.io/,http://opentreemap.github.io/,环境,开放城市绿色地图：了解我们的城市树木,城市树木的栽种直接影响到市民是否有地方可以纳凉，是否能够改善空气，是否能够降低温度，是否能够改善城市面貌等等。opentreemap提供了一套开源解决方案，帮助城市可视化现有树木资源，并邀请各界人士通过众包方式补足树木数据，从而为城市提供一套环境受益指数（净化多少二氧化碳，改善多少空气质量等等）,http://www.deeproot.com/blog/blog-entries/what-could-a-tree-inventory-look-like-interview-with-an-open-tree-map-project-lead
53,尼泊尔,,地震伤亡数据，资源需求数据，路面损毁情况数据，援助款项数据等人道主义救援相关的数据,NGO,提升现有服务或App,,,,人道救援,让开放数据协调尼泊尔地震救援,尼泊尔地震发生后，各方救援力量如何能够高效协同了解资源短缺情况，路面交通情况等从而一同协作救援？HDX（人道救援数据交换平台）在去年应对ebola时首次上线，在今年应对尼泊尔地震时更是帮助了各方NGO协同资源共享信息，有效开展救援工作。,http://www.fastcodesign.com/3045699/how-the-candy-crush-of-data-is-saving-lives-in-nepal
54,美国,,建筑许可数据，建筑公司资质数据,政府,创建App,Porch,http://porch.com,,消费,基于开放数据的Porch帮你更好挑选工程队,要对自家房屋进行修缮、改建、新建时如何选择合适的工程公司？Porch利用市政府提供的开放数据（建筑许可、建筑公司资质）和合作数据帮助你了解你周边社区中都有哪些工程项目，他们分别由谁完成，所需要的金额是多少、完成情况又如何，从而进一步帮助你挑选合适的工程公司。,http://www.wsj.com/articles/SB10001424052702304887104579307000606208592
55,美国,,餐饮卫生检查数据：名称，地址，检查时间，检查结果，违例处理情况等,政府,创建App,HDScores,http://hdscores.com/,,食品安全,HDScores探索开放餐厅卫生数据的统筹分析,美国各城市的餐饮卫生检查等级划分极为不同，这对于到不同城市旅游出差的人们极为不方便，也很容易造成困惑。HDScore通过聚合整理美国不同地方开放的餐卫生检查数据，建立了一套新的统一标准，为民众提供一套各地适用的检查结果。,http://www.socrata.com/blog/data-dollars-serving-open-data-restaurants/
